index,set,voiced,voiceless,step,underscore,extension,path
82,Banana_Panana_3,B,P,11,_,.mp3,Banana_Panana_3_11.mp3
83,Barn_Parn_1,B,P,10,_,.mp3,Barn_Parn_1_10.mp3
84,Bawn_Pawn_3,B,P,19,_,.mp3,Bawn_Pawn_3_19.mp3
85,Beninsula_Peninsula_3,B,P,22,_,.mp3,Beninsula_Peninsula_3_22.mp3
86,Berform_Perform_3,B,P,17,_,.mp3,Berform_Perform_3_17.mp3
87,Billion_Pillion_3,B,P,16,_,.mp3,Billion_Pillion_3_16.mp3
88,Billionaire_Pillionaire_3,B,P,10,_,.mp3,Billionaire_Pillionaire_3_10.mp3
89,Boom_Poom_1,B,P,14,_,.mp3,Boom_Poom_1_14.mp3
90,Brime_Prime_1,B,P,14,_,.mp3,Brime_Prime_1_14.mp3
91,Brown_Prown_3,B,P,9,_,.mp3,Brown_Prown_3_9.mp3
92,Ballerina_Pallerina_1,B,P,14,_,.mp3,Ballerina_Pallerina_1_14.mp3
93,Baloney_Paloney_1,B,P,9,_,.mp3,Baloney_Paloney_1_9.mp3
94,Barallel_Parallel_3,B,P,16,_,.mp3,Barallel_Parallel_3_16.mp3
95,Barely_Parely_1,B,P,9,_,.mp3,Barely_Parely_1_9.mp3
96,Barlor_Parlor_3,B,P,20,_,.mp3,Barlor_Parlor_3_20.mp3
97,Barren_Parren_3,B,P,11,_,.mp3,Barren_Parren_3_11.mp3
98,Belly_Pelly_3,B,P,18,_,.mp3,Belly_Pelly_3_18.mp3
99,Benign_Penign_3,B,P,9,_,.mp3,Benign_Penign_3_9.mp3
100,Biannual_Piannual_3,B,P,6,_,.mp3,Biannual_Piannual_3_6.mp3
101,Bioneer_Pioneer_3,B,P,19,_,.mp3,Bioneer_Pioneer_3_19.mp3
102,Blanner_Planner_3,B,P,21,_,.mp3,Blanner_Planner_3_21.mp3
103,Blea_Plea_3,B,P,17,_,.mp3,Blea_Plea_3_17.mp3
104,Blue_Plue_3,B,P,15,_,.mp3,Blue_Plue_3_15.mp3
105,Blyer_Plyer_1,B,P,16,_,.mp3,Blyer_Plyer_1_16.mp3
106,Boil_Poil_1,B,P,13,_,.mp3,Boil_Poil_1_13.mp3
107,Bollen_Pollen_3,B,P,22,_,.mp3,Bollen_Pollen_3_22.mp3
108,Bolymer_Polymer_3,B,P,20,_,.mp3,Bolymer_Polymer_3_20.mp3
109,Brain_Prain_3,B,P,13,_,.mp3,Brain_Prain_3_13.mp3
110,Brayer_Prayer_1,B,P,18,_,.mp3,Brayer_Prayer_1_18.mp3
111,Breliminary_Preliminary_1,B,P,22,_,.mp3,Breliminary_Preliminary_1_22.mp3
112,Bremier_Premier_3,B,P,17,_,.mp3,Bremier_Premier_3_17.mp3
113,Brewery_Prewery_1,B,P,13,_,.mp3,Brewery_Prewery_1_13.mp3
114,Brimal_Primal_3,B,P,21,_,.mp3,Brimal_Primal_3_21.mp3
115,Brior_Prior_3,B,P,20,_,.mp3,Brior_Prior_3_20.mp3
116,Browl_Prowl_3,B,P,16,_,.mp3,Browl_Prowl_3_16.mp3
