index,set,voiced,voiceless,step,underscore,extension,path
272,mug_muck_3,mug,muck,26,_,.mp3,mug_muck_3_26.mp3
273,nag_knack_3,nag,knack,26,_,.mp3,nag_knack_3_26.mp3
274,nab_nap_1,nab,nap,18,_,.mp3,nab_nap_1_18.mp3
275,rag_rack_3,rag,rack,24,_,.mp3,rag_rack_3_24.mp3
276,rib_rip_3,rib,rip,25,_,.mp3,rib_rip_3_25.mp3
277,ride_write_3,ride,write,25,_,.mp3,ride_write_3_25.mp3
278,rig_rick_3,rig,rick,23,_,.mp3,rig_rick_3_23.mp3
279,robe_rope_3,robe,rope,25,_,.mp3,robe_rope_3_25.mp3
280,sag_sack_1,sag,sack,24,_,.mp3,sag_sack_1_24.mp3
281,seed_seat_3,seed,seat,24,_,.mp3,seed_seat_3_24.mp3
282,send_sent_3,send,sent,23,_,.mp3,send_sent_3_23.mp3
283,shag_shack_3,shag,shack,25,_,.mp3,shag_shack_3_25.mp3
284,slab_slap_1,slab,slap,25,_,.mp3,slab_slap_1_25.mp3
285,slid_slit_1,slid,slit,26,_,.mp3,slid_slit_1_26.mp3
286,slide_slight_3,slide,slight,24,_,.mp3,slide_slight_3_24.mp3
287,slob_slop_3,slob,slop,26,_,.mp3,slob_slop_3_26.mp3
288,snag_snack_3,snag,snack,25,_,.mp3,snag_snack_3_25.mp3
289,sob_sop_3,sob,sop,26,_,.mp3,sob_sop_3_26.mp3
290,swab_swap_3,swab,swap,23,_,.mp3,swab_swap_3_23.mp3
291,wed_wet_3,wed,wet,22,_,.mp3,wed_wet_3_22.mp3
292,weed_wheat_3,weed,wheat,24,_,.mp3,weed_wheat_3_24.mp3
293,whig_wick_1,whig,wick,13,_,.mp3,whig_wick_1_13.mp3
294,wide_white_3,wide,white,16,_,.mp3,wide_white_3_16.mp3
295,ban_pan_1,ban,pan,19,_,.mp3,ban_pan_1_19.mp3
296,barrel_peril_3,barrel,peril,25,_,.mp3,barrel_peril_3_25.mp3
297,bay_pay_1,bay,pay,21,_,.mp3,bay_pay_1_21.mp3
298,bear_pair_1,bear,pair,20,_,.mp3,bear_pair_1_20.mp3
299,beer_peer_1,beer,peer,19,_,.mp3,beer_peer_1_19.mp3
300,bin_pin_3,bin,pin,22,_,.mp3,bin_pin_3_22.mp3
301,bloom_plume_3,bloom,plume,25,_,.mp3,bloom_plume_3_25.mp3
